,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_LOCAL_MAX,COL_ACCUMULATION_AGGRESSIVE
0,002509.SZ,002509,天茂退,None,0.15,0.62,11.437999999999999
1,600175.SH,600175,退美都,None,0.19,0.83,11.1111
2,002220.SZ,002220,天宝退,None,0.26,0.91,0.0
3,000820.SZ,000820,*ST节能,环境保护,0.91,1.0,0.0
4,000587.SZ,000587,*ST金洲,批发业,0.93,1.0,0.0
5,600614.SH,600614,*ST鹏起,综合类,0.74,1.01,5.2083
6,300090.SZ,300090,盛运退,None,0.21,1.08,10.3448
7,600255.SH,600255,*ST梦舟,铜,1.15,1.17,5.4054
8,600634.SH,600634,*ST富控,互联网,0.95,1.18,0.0
9,002256.SZ,002256,*ST兆新,染料涂料,1.16,1.19,5.4545
10,300156.SZ,300156,神雾退,None,0.21,1.19,0.0
11,600069.SH,600069,退银鸽,None,0.5,1.19,10.990400000000001
12,600978.SH,600978,*ST宜生,家居用品,1.08,1.21,0.0
13,600568.SH,600568,*ST中珠,区域地产,1.17,1.23,5.3097
14,600687.SH,600687,*ST刚泰,黄金,1.12,1.24,5.2632
15,600010.SH,600010,包钢股份,普钢,1.14,1.27,11.3347
16,600856.SH,600856,*ST中天,供气供热,1.11,1.28,10.6269
17,601258.SH,601258,ST庞大,汽车服务,1.15,1.3,0.0
18,600122.SH,600122,*ST宏图,其他商业,1.2,1.31,0.0
19,600290.SH,600290,*ST华仪,电气设备,1.19,1.31,0.0
20,000982.SZ,000982,*ST中绒,纺织,1.14,1.35,0.0
21,002711.SZ,002711,*ST欧浦,仓储物流,0.77,1.36,5.4795
22,002210.SZ,002210,*ST飞马,仓储物流,1.38,1.38,15.7853
23,000673.SZ,000673,*ST当代,影视音像,1.35,1.44,10.4941
24,600157.SH,600157,永泰能源,火力发电,1.31,1.44,5.303
25,603077.SH,603077,和邦生物,化工原料,1.35,1.45,0.0
26,600022.SH,600022,山东钢铁,普钢,1.37,1.46,5.1852
27,000981.SZ,000981,*ST银亿,汽车配件,1.37,1.47,5.2632
28,000585.SZ,000585,*ST东电,电气设备,1.37,1.5,0.0
29,002113.SZ,002113,*ST天润,互联网,1.38,1.51,0.0
30,002359.SZ,002359,*ST北讯,通信设备,1.22,1.52,0.0
31,002501.SZ,002501,*ST利源,铝,1.39,1.54,5.036
32,002535.SZ,002535,*ST林重,工程机械,1.49,1.54,0.0
33,000816.SZ,000816,ST慧业,农用机械,1.42,1.55,5.1852
34,600555.SH,600555,*ST海创,旅游服务,1.31,1.56,0.0
35,002052.SZ,002052,*ST同洲,通信设备,1.25,1.56,0.0
36,600280.SH,600280,*ST中商,百货,1.49,1.61,0.0
37,002356.SZ,002356,*ST赫美,其他商业,1.35,1.62,5.1852
38,002175.SZ,002175,*ST东网,电器仪表,1.48,1.64,5.1948
39,600086.SH,600086,*ST金钰,服饰,0.87,1.68,5.2083
40,002716.SZ,002716,*ST金贵,小金属,1.36,1.69,10.299199999999999
41,600701.SH,600701,*ST工新,综合类,1.17,1.69,10.5336
42,002418.SZ,002418,*ST康盛,机械基件,1.54,1.7,0.0
43,300116.SZ,300116,坚瑞沃能,电气设备,1.6,1.7,0.0
44,002147.SZ,002147,*ST新光,区域地产,1.57,1.71,0.0
45,600654.SH,600654,ST中安,软件服务,1.56,1.72,5.0955
46,000536.SZ,000536,*ST华映,元器件,1.53,1.72,0.0
47,600311.SH,600311,*ST荣华,黄金,1.5,1.73,0.0
48,600666.SH,600666,ST瑞德,元器件,1.46,1.73,0.0
49,601005.SH,601005,重庆钢铁,普钢,1.55,1.74,5.6604
50,600221.SH,600221,海航控股,空运,1.59,1.75,0.0
51,600307.SH,600307,酒钢宏兴,普钢,1.65,1.76,5.5901
52,002005.SZ,002005,*ST德豪,家用电器,1.2,1.78,0.0
53,600595.SH,600595,ST中孚,铝,1.67,1.78,0.0
54,002247.SZ,002247,*ST聚力,互联网,1.8,1.8,10.458
55,000509.SZ,000509,*ST华塑,医疗保健,1.73,1.81,10.3608
56,600462.SH,600462,*ST九有,互联网,1.75,1.83,0.0
57,000806.SZ,000806,*ST银河,生物制药,1.52,1.85,0.0
58,002176.SZ,002176,*ST江特,电气设备,1.8,1.86,0.0
59,000727.SZ,000727,*ST东科,元器件,1.79,1.88,5.0847
60,002445.SZ,002445,*ST中南,影视音像,1.88,1.88,10.145
61,002656.SZ,002656,ST摩登,服饰,1.8,1.89,5.0279
62,000760.SZ,000760,*ST斯太,汽车配件,1.47,1.9,10.2659
63,600777.SH,600777,新潮能源,石油开采,1.72,1.9,8.5366
64,002122.SZ,002122,*ST天马,机械基件,1.81,1.91,10.2978
65,000595.SZ,000595,*ST宝实,机械基件,1.84,1.91,5.1429
66,002219.SZ,002219,*ST恒康,中成药,1.62,1.93,0.0
67,300362.SZ,300362,天翔环境,环境保护,1.49,1.93,19.490499999999997
68,000669.SZ,000669,*ST金鸿,供气供热,1.77,1.94,0.0
69,600871.SH,600871,石化油服,石油开采,1.79,1.94,5.5866
70,600408.SH,600408,ST安泰,焦炭加工,1.85,1.95,0.0
71,600247.SH,600247,*ST成城,商贸代理,1.73,1.95,5.2326
72,002610.SZ,002610,爱康科技,电气设备,1.83,1.98,24.7875
73,002102.SZ,002102,ST冠福,化学制药,1.88,1.98,0.0
74,600225.SH,600225,*ST松江,区域地产,1.85,2.0,0.0
75,600795.SH,600795,国电电力,火力发电,1.98,2.01,5.3191
76,603555.SH,603555,*ST贵人,服饰,1.76,2.02,5.2083
77,600166.SH,600166,福田汽车,汽车整车,1.87,2.02,0.0
78,002426.SZ,002426,*ST胜利,元器件,1.89,2.03,10.324200000000001
79,600653.SH,600653,申华控股,汽车服务,1.9,2.04,5.3476
80,000683.SZ,000683,远兴能源,化工原料,1.85,2.05,0.0
81,002086.SZ,002086,*ST东洋,渔业,1.93,2.06,10.365200000000002
82,002280.SZ,002280,*ST联络,软件服务,1.35,2.07,10.4103
83,002031.SZ,002031,巨轮智能,汽车配件,1.95,2.1,0.0
84,600103.SH,600103,青山纸业,造纸,1.97,2.12,0.0
85,600112.SH,600112,ST天成,电气设备,1.62,2.12,0.0
86,000980.SZ,000980,*ST众泰,汽车配件,1.25,2.16,5.2239
87,600652.SH,600652,ST游久,互联网,2.03,2.16,0.0
88,600759.SH,600759,洲际油气,石油开采,1.96,2.17,5.641
89,600169.SH,600169,太原重工,工程机械,2.05,2.19,0.0
90,000882.SZ,000882,华联股份,其他商业,2.0,2.2,0.0
91,600121.SH,600121,郑州煤电,煤炭开采,2.01,2.2,0.0
92,601388.SH,601388,怡球资源,铝,1.98,2.21,16.858999999999998
93,600321.SH,600321,正源股份,其他建材,2.02,2.2291,0.0
94,000572.SZ,000572,ST海马,汽车整车,2.23,2.23,10.290700000000001
95,601866.SH,601866,中远海发,水运,2.04,2.25,7.4627
96,000670.SZ,000670,*ST盈方,元器件,2.25,2.25,10.2422
97,600816.SH,600816,*ST安信,多元金融,2.07,2.25,5.2133
98,600575.SH,600575,淮河能源,水运,2.1,2.26,0.0
99,002630.SZ,002630,华西能源,专用机械,2.12,2.26,0.0
100,600162.SH,600162,香江控股,全国地产,2.08,2.27,5.4726
101,002447.SZ,002447,*ST晨鑫,互联网,2.06,2.28,15.173099999999998
102,002021.SZ,002021,ST中捷,纺织机械,2.1,2.28,5.2133
103,002471.SZ,002471,中超控股,电气设备,2.16,2.3,0.0
104,002269.SZ,002269,美邦服饰,服饰,2.11,2.32,0.0
105,600698.SH,600698,ST天雁,汽车配件,2.22,2.32,0.0
106,601880.SH,601880,大连港,港口,2.04,2.32,30.032799999999995
107,300185.SZ,300185,通裕重工,工程机械,2.14,2.33,5.9106
108,600725.SH,600725,ST云维,焦炭加工,2.24,2.33,0.0
109,600691.SH,600691,阳煤化工,农药化肥,2.09,2.33,9.9057
110,002586.SZ,002586,*ST围海,建筑工程,2.04,2.34,5.1163
111,600569.SH,600569,安阳钢铁,普钢,2.21,2.35,6.0748
112,000709.SZ,000709,河钢股份,普钢,2.2,2.36,6.4815
113,603996.SH,603996,*ST中新,家用电器,2.17,2.36,0.0
114,000420.SZ,000420,吉林化纤,化纤,2.11,2.37,0.0
115,000630.SZ,000630,铜陵有色,铜,2.15,2.39,20.043300000000002
116,600743.SH,600743,华远地产,区域地产,2.19,2.39,5.9091
117,000809.SZ,000809,铁岭新城,区域地产,2.25,2.39,0.0
118,600219.SH,600219,南山铝业,铝,2.4,2.41,8.2949
119,601929.SH,601929,吉视传媒,影视音像,2.19,2.43,5.4054
120,000629.SZ,000629,攀钢钒钛,小金属,2.17,2.43,13.7604
121,002470.SZ,002470,*ST金正,农药化肥,1.58,2.44,0.0
122,000780.SZ,000780,*ST平能,煤炭开采,2.31,2.44,0.0
123,300135.SZ,300135,宝利国际,化工原料,2.32,2.4598,0.0
124,600331.SH,600331,宏达股份,铅锌,2.26,2.46,6.4815
125,601991.SH,601991,大唐发电,火力发电,2.26,2.47,6.7873
126,600726.SH,600726,华电能源,火力发电,2.26,2.48,21.0855
127,300237.SZ,300237,美晨生态,建筑工程,2.32,2.48,0.0
128,600084.SH,600084,ST中葡,红黄酒,2.45,2.5,0.0
129,600231.SH,600231,凌钢股份,普钢,2.3,2.52,0.0
130,002663.SZ,002663,普邦股份,建筑工程,2.33,2.53,0.0
131,300071.SZ,300071,华谊嘉信,广告包装,2.23,2.54,0.0
132,000897.SZ,000897,津滨发展,区域地产,2.37,2.55,0.0
133,000890.SZ,000890,*ST胜尔,钢加工,2.36,2.55,5.1948
134,300431.SZ,300431,暴风集团,互联网,1.48,2.57,10.0559
135,601333.SH,601333,广深铁路,铁路,2.38,2.58,7.5
136,000767.SZ,000767,漳泽电力,火力发电,2.39,2.58,5.1502
137,600187.SH,600187,国中水务,水务,2.4,2.59,0.0
138,601000.SH,601000,唐山港,港口,2.38,2.61,5.6034
139,002638.SZ,002638,*ST勤上,文教休闲,1.51,2.61,0.0
140,000552.SZ,000552,靖远煤电,煤炭开采,2.42,2.63,7.5314
141,600339.SH,600339,中油工程,石油加工,2.44,2.64,6.25
142,000707.SZ,000707,ST双环,化工原料,2.57,2.66,0.0
143,601016.SH,601016,节能风电,新型电力,2.39,2.66,15.6327
144,600815.SH,600815,*ST厦工,工程机械,2.22,2.66,0.0
145,300064.SZ,300064,豫金刚石,矿物制品,2.1,2.66,19.9174
146,300152.SZ,300152,科融环境,环境保护,2.54,2.69,0.0
147,002554.SZ,002554,惠博普,石油开采,2.56,2.6993,0.0
148,600518.SH,600518,ST康美,中成药,2.6,2.7,5.0584
149,600145.SH,600145,*ST新亿,陶瓷,1.39,2.71,0.0
150,600968.SH,600968,海油发展,石油开采,2.43,2.7192,7.1697
151,600744.SH,600744,华银电力,火力发电,2.47,2.73,10.0418
152,600863.SH,600863,内蒙华电,火力发电,2.6,2.73,0.0
153,000422.SZ,000422,ST宜化,农药化肥,2.5,2.75,0.0
154,002505.SZ,002505,大康农业,农业综合,2.47,2.75,15.4906
155,002323.SZ,002323,*ST雅博,建筑工程,2.39,2.75,5.0847
156,002523.SZ,002523,天桥起重,工程机械,2.57,2.76,0.0
157,600159.SH,600159,大龙地产,区域地产,2.53,2.76,5.8366
158,002259.SZ,002259,*ST升达,供气供热,2.53,2.77,5.1793
159,601518.SH,601518,吉林高速,路桥,2.42,2.78,0.0
160,600186.SH,600186,莲花健康,食品,2.59,2.8,6.5134
161,300247.SZ,300247,融捷健康,医疗保健,2.63,2.8,0.0
162,600106.SH,600106,重庆路桥,路桥,2.64,2.8,0.0
163,002132.SZ,002132,恒星科技,钢加工,2.65,2.81,0.0
164,000017.SZ,000017,*ST中华A,文教休闲,2.53,2.82,0.0
165,000517.SZ,000517,荣安地产,区域地产,2.58,2.82,6.8966
166,601996.SH,601996,丰林集团,家居用品,2.8,2.82,0.0
167,002172.SZ,002172,澳洋健康,化纤,2.63,2.83,5.1383
168,600293.SH,600293,三峡新材,互联网,2.57,2.83,5.098
169,300217.SZ,300217,东方电热,电器仪表,2.55,2.83,10.1626
170,000545.SZ,000545,金浦钛业,化工原料,2.67,2.84,0.0
171,601188.SH,601188,龙江交通,路桥,2.74,2.85,0.0
172,002665.SZ,002665,首航高科,电气设备,2.47,2.86,6.2992
173,000659.SZ,000659,珠海中富,广告包装,2.54,2.86,23.7339
174,600033.SH,600033,福建高速,路桥,2.76,2.87,0.0
175,002089.SZ,002089,*ST新海,通信设备,2.72,2.87,10.2665
176,601975.SH,601975,招商南油,水运,2.64,2.88,5.1383
177,002495.SZ,002495,佳隆股份,食品,2.66,2.88,0.0
178,002619.SZ,002619,艾格拉斯,互联网,2.47,2.88,5.1095
179,000971.SZ,000971,*ST高升,互联网,2.82,2.88,0.0
180,000692.SZ,000692,惠天热电,供气供热,2.75,2.88,0.0
181,000838.SZ,000838,财信发展,区域地产,2.75,2.89,0.0
182,600322.SH,600322,天房发展,区域地产,2.65,2.89,5.1661
183,600397.SH,600397,安源煤业,煤炭开采,2.49,2.89,10.1961
184,600423.SH,600423,ST柳化,农药化肥,2.75,2.9,0.0
185,300197.SZ,300197,铁汉生态,环境保护,2.77,2.9,0.0
186,002076.SZ,002076,*ST雪莱,家用电器,2.88,2.91,5.1095
187,601918.SH,601918,新集能源,煤炭开采,2.65,2.91,12.8447
188,600243.SH,600243,*ST海华,机床制造,2.64,2.92,0.0
189,002263.SZ,002263,大东南,塑料,2.75,2.92,20.310200000000002
190,002374.SZ,002374,丽鹏股份,建筑工程,2.66,2.92,6.1818
191,000898.SZ,000898,鞍钢股份,普钢,2.66,2.93,8.365
192,601618.SH,601618,中国中冶,建筑工程,2.73,2.9349,8.8556
193,300301.SZ,300301,长方集团,半导体,2.7,2.94,10.1124
194,000558.SZ,000558,莱茵体育,文教休闲,2.75,2.94,0.0
195,600317.SH,600317,营口港,港口,2.61,2.94,29.9437
196,300343.SZ,300343,联创股份,互联网,2.17,2.94,12.4351
197,300111.SZ,300111,向日葵,半导体,2.68,2.95,5.597
198,000506.SZ,000506,中润资源,黄金,2.62,2.95,15.903
199,002504.SZ,002504,弘高创意,装修装饰,2.62,2.95,13.4728
200,600226.SH,600226,*ST瀚叶,互联网,1.2,2.95,0.0
201,600220.SH,600220,江苏阳光,纺织,2.89,2.95,0.0
202,600982.SH,600982,宁波热电,供气供热,2.88,2.95,0.0
203,000972.SZ,000972,ST中基,食品,2.7,2.96,0.0
204,600396.SH,600396,金山股份,火力发电,2.73,2.96,12.0019
205,600808.SH,600808,马钢股份,普钢,2.71,2.97,6.9343
206,600467.SH,600467,好当家,渔业,2.73,2.9794,9.9247
207,600227.SH,600227,圣济堂,化学制药,2.77,2.98,0.0
208,000662.SZ,000662,*ST天夏,软件服务,1.53,3.01,5.2023
209,601326.SH,601326,秦港股份,港口,2.74,3.01,6.7416
210,002496.SZ,002496,*ST辉丰,农药化肥,2.82,3.01,0.0
211,600256.SH,600256,广汇能源,石油开采,2.82,3.01,0.0
212,002379.SZ,002379,宏创控股,铝,2.71,3.02,5.0725
213,002526.SZ,002526,山东矿机,工程机械,2.67,3.02,20.8153
214,002770.SZ,002770,ST科迪,乳制品,1.8,3.03,0.0
215,300355.SZ,300355,蒙草生态,环境保护,2.92,3.03,0.0
216,000533.SZ,000533,顺钠股份,电气设备,2.88,3.04,0.0
217,600275.SH,600275,ST昌鱼,农业综合,3.06,3.06,0.0
218,600470.SH,600470,*ST六化,农药化肥,2.98,3.06,0.0
219,002502.SZ,002502,*ST鼎龙,影视音像,2.86,3.09,5.102
220,601113.SH,601113,ST华鼎,化纤,2.97,3.09,0.0
221,300370.SZ,300370,安控科技,电器仪表,2.64,3.1,5.4902
222,002629.SZ,002629,*ST仁智,石油开采,2.72,3.12,0.0
223,300108.SZ,300108,吉药控股,中成药,2.8,3.13,8.3045
224,601588.SH,601588,北辰实业,区域地产,2.87,3.13,8.156
225,000571.SZ,000571,*ST大洲,综合类,3.11,3.13,0.0
226,600892.SH,600892,*ST大晟,影视音像,2.95,3.14,5.0676
227,300157.SZ,300157,恒泰艾普,石油开采,2.81,3.15,0.0
228,000839.SZ,000839,中信国安,综合类,2.75,3.15,16.0606
229,300325.SZ,300325,德威新材,塑料,2.65,3.16,0.0
230,600530.SH,600530,*ST交昂,医疗保健,3.07,3.16,0.0
231,002348.SZ,002348,高乐股份,文教休闲,2.85,3.16,9.8901
232,601218.SH,601218,吉鑫科技,机械基件,3.0,3.17,0.0
233,000631.SZ,000631,顺发恒业,区域地产,2.95,3.17,0.0
234,000573.SZ,000573,粤宏远A,区域地产,2.78,3.17,10.0694
235,002305.SZ,002305,南国置业,区域地产,2.61,3.18,10.0346
236,000753.SZ,000753,漳州发展,汽车服务,3.0,3.18,0.0
237,600172.SH,600172,黄河旋风,矿物制品,2.96,3.21,5.6856
238,002692.SZ,002692,ST远程,电气设备,3.04,3.21,5.0505
239,000413.SZ,000413,东旭光电,元器件,2.87,3.21,10.780999999999999
240,600578.SH,600578,京能电力,火力发电,3.12,3.23,0.0
241,600320.SH,600320,振华重工,工程机械,3.07,3.23,0.0
242,600090.SH,600090,*ST济堂,医药商业,1.84,3.23,0.0
243,600017.SH,600017,日照港,港口,2.92,3.23,8.4459
244,000616.SZ,000616,海航投资,全国地产,2.81,3.23,8.8737
245,600512.SH,600512,腾达建设,建筑工程,2.97,3.24,0.0
246,003816.SZ,003816,中国广核,新型电力,3.05,3.24,5.9013
247,600170.SH,600170,上海建工,建筑工程,3.15,3.2474,5.001
248,600582.SH,600582,天地科技,工程机械,3.06,3.25,5.8444
249,600792.SH,600792,云煤能源,焦炭加工,3.04,3.25,6.0403
250,600708.SH,600708,光明地产,全国地产,3.0,3.25,6.6225
251,000737.SZ,000737,ST南风,日用化工,2.99,3.26,5.1546
252,002342.SZ,002342,巨力索具,机械基件,3.1,3.26,0.0
253,002109.SZ,002109,兴化股份,化工原料,3.1,3.26,0.0
254,601212.SH,601212,白银有色,铜,2.79,3.26,14.1038
255,601619.SH,601619,嘉泽新能,新型电力,3.03,3.26,0.0
256,600798.SH,600798,宁波海运,水运,3.13,3.27,0.0
257,600077.SH,600077,宋都股份,全国地产,3.09,3.28,0.0
258,600035.SH,600035,楚天高速,路桥,3.16,3.28,0.0
259,000751.SZ,000751,锌业股份,铅锌,2.94,3.28,16.2457
260,000521.SZ,000521,长虹美菱,家用电器,3.09,3.28,0.0
261,000667.SZ,000667,美好置业,全国地产,3.23,3.28,5.1903
262,002506.SZ,002506,协鑫集成,电气设备,2.75,3.28,18.7341
263,600567.SH,600567,山鹰纸业,造纸,3.1,3.29,0.0
264,000677.SZ,000677,恒天海龙,化纤,3.13,3.29,0.0
265,000008.SZ,000008,神州高铁,运输设备,3.1,3.3,0.0
266,000005.SZ,000005,世纪星源,环境保护,2.93,3.31,10.0346
267,000835.SZ,000835,*ST长动,影视音像,2.03,3.33,0.0
268,002622.SZ,002622,融钰集团,综合类,2.91,3.35,0.0
269,600139.SH,600139,西部资源,综合类,2.99,3.35,6.3492
270,002694.SZ,002694,顾地科技,塑料,2.96,3.37,6.2069
271,600839.SH,600839,四川长虹,家用电器,2.95,3.39,5.2632
272,601216.SH,601216,君正集团,化工原料,3.08,3.39,22.0787
273,002195.SZ,002195,二三四五,软件服务,3.0,3.4,8.2803
274,002354.SZ,002354,*ST天娱,互联网,3.16,3.4,0.0
275,600715.SH,600715,文投控股,影视音像,3.09,3.4,9.9315
276,600358.SH,600358,*ST联合,旅游服务,2.96,3.41,0.0
277,002071.SZ,002071,*ST长城,影视音像,1.71,3.42,5.0847
278,601992.SH,601992,金隅集团,水泥,3.15,3.42,6.52
279,002133.SZ,002133,广宇集团,全国地产,3.16,3.42,5.5728
280,600537.SH,600537,亿晶光电,半导体,3.17,3.43,0.0
281,600008.SH,600008,首创股份,环境保护,3.38,3.44,0.0
282,002285.SZ,002285,世联行,房产服务,2.98,3.44,0.0
283,002431.SZ,002431,棕榈股份,建筑工程,3.44,3.44,5.8462
284,002162.SZ,002162,悦心健康,医疗保健,3.26,3.44,0.0
285,002766.SZ,002766,*ST索菱,汽车配件,3.23,3.45,0.0
286,600433.SH,600433,冠豪高新,造纸,3.3,3.45,0.0
287,002503.SZ,002503,搜于特,服饰,2.92,3.45,9.1772
288,600868.SH,600868,梅雁吉祥,水力发电,3.22,3.45,0.0
289,000040.SZ,000040,东旭蓝天,新型电力,3.09,3.47,5.2805
290,002154.SZ,002154,报喜鸟,服饰,3.2,3.47,0.0
291,600481.SH,600481,双良节能,环境保护,3.18,3.47,6.1162
292,002067.SZ,002067,景兴纸业,造纸,3.24,3.47,0.0
293,600565.SH,600565,迪马股份,全国地产,2.97,3.48,6.4846
294,000791.SZ,000791,甘肃电投,水力发电,3.31,3.48,0.0
295,600355.SH,600355,精伦电子,元器件,3.49,3.49,0.0
296,601010.SH,601010,文峰股份,超市连锁,3.25,3.49,0.0
297,600190.SH,600190,锦州港,港口,3.15,3.49,0.0
298,600527.SH,600527,江南高纤,化纤,2.88,3.49,20.164
299,002325.SZ,002325,洪涛股份,装修装饰,3.21,3.5,5.0794
300,600241.SH,600241,*ST时万,商贸代理,3.32,3.5,0.0
301,600428.SH,600428,中远海特,水运,3.3,3.51,0.0
302,600189.SH,600189,吉林森工,软饮料,3.4,3.51,0.0
303,600300.SH,600300,维维股份,软饮料,3.2,3.51,0.0
304,600981.SH,600981,汇鸿集团,商贸代理,3.26,3.51,0.0
305,600558.SH,600558,大西洋,钢加工,3.05,3.51,10.0313
306,600844.SH,600844,丹化科技,化工原料,3.31,3.52,0.0
307,600870.SH,600870,ST厦华,家用电器,2.78,3.53,0.0
308,000415.SZ,000415,渤海租赁,多元金融,2.88,3.53,7.4303
309,601106.SH,601106,中国一重,工程机械,3.26,3.53,17.0336
310,000782.SZ,000782,美达股份,化纤,3.35,3.55,0.0
311,601015.SH,601015,陕西黑猫,焦炭加工,3.09,3.55,22.2273
312,601228.SH,601228,广州港,港口,3.24,3.57,6.2696
313,002306.SZ,002306,ST云网,酒店餐饮,3.41,3.57,0.0
314,002575.SZ,002575,*ST群兴,文教休闲,3.28,3.57,0.0
315,000718.SZ,000718,苏宁环球,区域地产,3.34,3.57,7.5758
316,601600.SH,601600,中国铝业,铝,3.15,3.57,10.0334
317,601288.SH,601288,农业银行,银行,3.28,3.575,7.1225
318,300128.SZ,300128,锦富技术,元器件,3.18,3.59,0.0
319,600108.SH,600108,亚盛集团,农业综合,3.33,3.6,6.1947
320,600794.SH,600794,保税科技,仓储物流,3.33,3.6,0.0
321,002499.SZ,002499,*ST科林,环境保护,3.37,3.6,0.0
322,002141.SZ,002141,贤丰控股,元器件,3.43,3.61,10.061
323,601616.SH,601616,广电电气,电气设备,3.34,3.61,0.0
324,000937.SZ,000937,冀中能源,煤炭开采,3.39,3.62,6.7485
325,600780.SH,600780,通宝能源,火力发电,3.45,3.63,0.0
326,600853.SH,600853,龙建股份,建筑工程,3.4,3.64,0.0
327,300145.SZ,300145,中金环境,专用机械,3.27,3.64,13.824100000000001
328,000761.SZ,000761,本钢板材,普钢,3.49,3.64,0.0
329,600439.SH,600439,瑞贝卡,服饰,3.57,3.6489,16.6294
330,000861.SZ,000861,海印股份,房产服务,3.43,3.6594,6.1532
331,002060.SZ,002060,粤水电,建筑工程,3.31,3.66,7.6471
332,601988.SH,601988,中国银行,银行,3.41,3.669,6.6105
333,600076.SH,600076,康欣新材,其他建材,3.43,3.67,0.0
334,600252.SH,600252,中恒集团,中成药,3.49,3.68,0.0
335,002337.SZ,002337,赛象科技,化工机械,3.49,3.68,0.0
336,600664.SH,600664,哈药股份,化学制药,3.34,3.68,0.0
337,600023.SH,600023,浙能电力,火力发电,3.53,3.69,5.7832
338,600881.SH,600881,亚泰集团,水泥,3.33,3.7,17.1254
339,000836.SZ,000836,富通鑫茂,通信设备,3.31,3.7,0.0
340,002206.SZ,002206,海利得,化纤,3.53,3.7,5.7307
341,002345.SZ,002345,潮宏基,服饰,3.57,3.7,0.0
342,601107.SH,601107,四川成渝,路桥,3.55,3.7,0.0
343,600790.SH,600790,轻纺城,商品城,3.3,3.7,0.0
344,600400.SH,600400,红豆股份,服饰,3.49,3.71,0.0
345,000711.SZ,000711,京蓝科技,软件服务,3.27,3.72,5.1724
346,601598.SH,601598,中国外运,仓储物流,3.36,3.7267,0.0
347,600269.SH,600269,赣粤高速,路桥,3.57,3.7272,0.0
348,600282.SH,600282,南钢股份,普钢,3.27,3.73,16.6205
349,600751.SH,600751,海航科技,软件服务,3.25,3.73,6.5714
350,600758.SH,600758,辽宁能源,煤炭开采,3.46,3.7306,0.0
351,600979.SH,600979,广安爱众,水力发电,3.56,3.74,5.7057
352,300269.SZ,300269,联建光电,半导体,3.27,3.74,0.0
353,000825.SZ,000825,太钢不锈,特种钢,3.48,3.75,5.4755
354,002676.SZ,002676,顺威股份,塑料,3.48,3.75,5.9322
355,600303.SH,600303,曙光股份,汽车整车,3.47,3.75,0.0
356,000812.SZ,000812,陕西金叶,广告包装,3.3,3.7583,19.849
357,600082.SH,600082,海泰发展,园区开发,3.52,3.76,0.0
358,600091.SH,600091,ST明科,化工原料,3.7,3.76,0.0
359,600212.SH,600212,*ST江泉,综合类,3.16,3.77,0.0
360,600277.SH,600277,亿利洁能,化工原料,3.52,3.77,6.7647
361,603778.SH,603778,乾景园林,建筑工程,3.68,3.77,0.0
362,300459.SZ,300459,金科文化,互联网,3.24,3.78,5.5866
363,002542.SZ,002542,中化岩土,建筑工程,3.49,3.79,0.0
364,601339.SH,601339,百隆东方,纺织,3.55,3.79,0.0
365,600490.SH,600490,鹏欣资源,铜,3.43,3.79,11.175699999999999
366,600393.SH,600393,粤泰股份,全国地产,3.06,3.8,23.7899
367,600297.SH,600297,广汇汽车,汽车服务,3.26,3.8,6.2687
368,600208.SH,600208,新湖中宝,全国地产,3.29,3.81,17.8533
369,600509.SH,600509,天富能源,火力发电,3.54,3.81,5.9701
370,600665.SH,600665,天地源,全国地产,3.63,3.8198,0.0
371,002516.SZ,002516,旷达科技,纺织,3.46,3.82,9.9398
372,000530.SZ,000530,冰山冷热,机械基件,3.76,3.82,0.0
373,002255.SZ,002255,*ST海陆,专用机械,3.45,3.83,5.042
374,000687.SZ,000687,*ST华讯,通信设备,1.83,3.83,0.0
375,600063.SH,600063,皖维高新,化纤,3.56,3.84,6.3584
376,600117.SH,600117,西宁特钢,特种钢,3.4,3.84,22.7693
377,002482.SZ,002482,广田集团,装修装饰,3.57,3.86,0.0
378,600767.SH,600767,ST运盛,医疗保健,3.52,3.86,0.0
379,000822.SZ,000822,山东海化,化工原料,3.6,3.86,0.0
380,600020.SH,600020,中原高速,路桥,3.67,3.87,0.0
381,000949.SZ,000949,新乡化纤,化纤,3.44,3.87,0.0
382,600027.SH,600027,华电国际,火力发电,3.64,3.87,0.0
383,600163.SH,600163,中闽能源,新型电力,3.84,3.87,0.0
384,000611.SZ,000611,*ST天首,纺织,3.67,3.87,0.0
385,600370.SH,600370,三房巷,纺织,3.87,3.87,16.7074
386,300317.SZ,300317,珈伟新能,半导体,3.37,3.87,12.751999999999999
387,600960.SH,600960,渤海汽车,汽车配件,3.33,3.8786,0.0
388,600368.SH,600368,五洲交通,路桥,3.88,3.88,7.4792
389,002593.SZ,002593,日上集团,汽车配件,3.61,3.88,0.0
390,002069.SZ,002069,獐子岛,渔业,3.47,3.89,21.580199999999998
391,600734.SH,600734,*ST实达,IT设备,2.01,3.89,0.0
392,000560.SZ,000560,我爱我家,房产服务,3.9,3.9,16.7023
393,600688.SH,600688,上海石化,石油加工,3.8,3.91,5.2198
394,002121.SZ,002121,*ST科陆,电器仪表,3.64,3.91,5.1429
395,002578.SZ,002578,闽发铝业,铝,3.71,3.91,0.0
396,600386.SH,600386,北巴传媒,汽车服务,3.61,3.92,0.0
